"Stake","Hands","My C Won","BB/100","My C All-In Adj","All-In Adj BB/100","StdDev(BB/100)","My C Rake Attrib"
"€0.50 NL (5 max)","272,369","€11,089.11","8.14","€14,464.55","10.62","92.72","€13,888.68"
"€1 NL (5 max)","79,961","€6,452.74","8.07","€4,268.56","5.34","92.63","€6,676.09"
"€2 NL (5 max)","30,975","€1,683.66","2.72","€1,302.12","2.10","92.66","€4,201.75"
"€4 NL (6 max)","12,387","€2,010.27","4.06","€654.58","1.32","79.93","€2,164.17"
"€2 NL (6 max)","9,480","€1,526.75","8.05","€1,786.50","9.42","89.53","€1,078.50"
"€6 NL (6 max)","1,122","€4,203.72","62.44","€3,213.03","47.73","85.66","€257.49"
"€10 NL (6 max)","290","€436.45","15.05","-€89.81","-3.10","48.58","€62.25"
"7 Stakes","406,584","€27,402.70","7.74","€25,599.53","8.71","83.10","€28,328.93"
