"Stake","Game","Hands","Hands Won","Sessions","Sessions Won","Won","Won (Inc Payout)","My C Won","My C Won (Inc Payouts)","My C All-In Adj","BB/100","All-In Adj BB/100","Rake Attrib","Hours","My C / 100"
"€10 NL (6 max)","Holdem","10","5 (50.00%)","1","1 (100.00%)","€700.50","€700.50","€700.50","€700.50","€1.91","700.50","1.91","€16.75","0.15","€7,005.00"
"€6 NL (6 max)","Holdem","600","141 (23.50%)","21","9 (42.86%)","€2,218.83","€2,218.83","€2,218.83","€2,218.83","€1,725.15","61.63","47.92","€140.36","6.50","€369.80"
"€4 NL (6 max)","Holdem","4,632","940 (20.29%)","126","58 (46.03%)","€1,775.94","€1,775.94","€1,775.94","€1,775.94","€1,104.03","9.59","5.96","€873.04","43.95","€38.34"
"€2 NL (6 max)","Holdem","7,244","1,360 (18.77%)","171","82 (47.95%)","€989.87","€989.87","€989.87","€989.87","€1,049.93","6.83","7.25","€825.41","47.20","€13.66"
"€2 NL (5 max)","Holdem","6,516","1,393 (21.38%)","146","68 (46.58%)","€243.81","€243.81","€243.81","€243.81","-€398.52","1.87","-3.06","€888.14","43.58","€3.74"
"€1 NL (5 max)","Holdem","11,052","2,363 (21.38%)","220","119 (54.09%)","€1,726.64","€1,726.64","€1,726.64","€1,726.64","€1,231.28","15.62","11.14","€1,012.48","56.25","€15.62"
"€0.50 NL (5 max)","Holdem","23,082","4,894 (21.20%)","333","158 (47.45%)","€13.32","€13.32","€13.32","€13.32","€612.12","0.12","5.30","€1,161.82","63.28","€0.06"
"7 Stakes","1 Game","53,136","11,096 (20.88%)","1,018","495 (48.62%)","€7,668.91","€7,668.91","€7,668.91","€7,668.91","€5,325.90","6.12","6.30","€4,918.00","64.63","€14.43"
